NARCOTICS,STREET
ASSAULT,RESIDENCE
ROBBERY,SIDEWALK
ROBBERY,STREET
CRIMINAL DAMAGE,TAXICAB
CRIMINAL DAMAGE,RESIDENCE
MOTOR VEHICLE THEFT,STREET
THEFT,RESIDENCE
THEFT,DRUG STORE
THEFT,APARTMENT
BATTERY,RESIDENCE
CRIMINAL DAMAGE,RESIDENCE
MOTOR VEHICLE THEFT,STREET
THEFT,PARKING LOT/GARAGE(NON.RESID.)
THEFT,DEPARTMENT STORE
CRIMINAL DAMAGE,STREET
ASSAULT,STREET
CRIMINAL DAMAGE,RESIDENCE
CRIMINAL DAMAGE,ALLEY
CRIMINAL TRESPASS,APARTMENT
CRIMINAL DAMAGE,RESIDENCE
INTERFERENCE WITH PUBLIC OFFICER,STREET
THEFT,STREET
NARCOTICS,STREET
BURGLARY,PARKING LOT/GARAGE(NON.RESID.)
CRIMINAL DAMAGE,RESIDENCE
CRIMINAL DAMAGE,STREET
ROBBERY,GAS STATION
CRIMINAL DAMAGE,RESIDENCE
THEFT,GROCERY FOOD STORE
CRIMINAL DAMAGE,APARTMENT
OTHER OFFENSE,RESIDENCE
BATTERY,NURSING HOME/RETIREMENT HOME
THEFT,STREET
MOTOR VEHICLE THEFT,STREET
MOTOR VEHICLE THEFT,STREET
BURGLARY,APARTMENT
THEFT,RESTAURANT
ASSAULT,APARTMENT
BATTERY,APARTMENT
THEFT,CTA TRAIN
THEFT,CTA BUS
CRIMINAL DAMAGE,STREET
BURGLARY,APARTMENT
NARCOTICS,PARKING LOT/GARAGE(NON.RESID.)
THEFT,APARTMENT
OFFENSE INVOLVING CHILDREN,RESIDENCE
CRIMINAL TRESPASS,COMMERCIAL / BUSINESS OFFICE
THEFT,BANK
BURGLARY,APARTMENT
NARCOTICS,SIDEWALK
NARCOTICS,STREET
CRIMINAL DAMAGE,STREET
ASSAULT,PARKING LOT/GARAGE(NON.RESID.)
NARCOTICS,SIDEWALK
NARCOTICS,ALLEY
BURGLARY,GOVERNMENT BUILDING/PROPERTY
MOTOR VEHICLE THEFT,STREET
THEFT,RESIDENCE-GARAGE
NARCOTICS,GAS STATION
BATTERY,APARTMENT
DECEPTIVE PRACTICE,RESIDENCE
BATTERY,SIDEWALK
OTHER OFFENSE,RESIDENCE
CRIMINAL DAMAGE,STREET
DECEPTIVE PRACTICE,CONVENIENCE STORE
NARCOTICS,OTHER RAILROAD PROP / TRAIN DEPOT
CRIMINAL DAMAGE,PARK PROPERTY
NARCOTICS,SIDEWALK
THEFT,GROCERY FOOD STORE
THEFT,SMALL RETAIL STORE
OTHER OFFENSE,APARTMENT
ROBBERY,RESIDENCE
NARCOTICS,SIDEWALK
BURGLARY,RESIDENCE-GARAGE
WEAPONS VIOLATION,STREET
THEFT,APARTMENT
BURGLARY,APARTMENT
BURGLARY,RESIDENCE
CRIMINAL DAMAGE,RESIDENCE
CRIMINAL DAMAGE,RESIDENCE
THEFT,DEPARTMENT STORE
CRIMINAL DAMAGE,STREET
WEAPONS VIOLATION,STREET
THEFT,APARTMENT
NARCOTICS,GOVERNMENT BUILDING/PROPERTY
NARCOTICS,STREET
CRIMINAL DAMAGE,RESIDENCE
CRIMINAL DAMAGE,PARK PROPERTY
BATTERY,SIDEWALK
NARCOTICS,SIDEWALK
THEFT,STREET
BATTERY,APARTMENT
ROBBERY,SIDEWALK
MOTOR VEHICLE THEFT,STREET
BATTERY,RESIDENCE
BURGLARY,DEPARTMENT STORE
CRIMINAL DAMAGE,RESTAURANT
CRIMINAL DAMAGE,APARTMENT
BATTERY,APARTMENT
MOTOR VEHICLE THEFT,STREET
NARCOTICS,STREET
NARCOTICS,VEHICLE NON-COMMERCIAL
THEFT,RESIDENTIAL YARD (FRONT/BACK)
BATTERY,APARTMENT
CRIMINAL DAMAGE,RESTAURANT
CRIMINAL TRESPASS,POLICE FACILITY/VEH PARKING LOT
NARCOTICS,VEHICLE NON-COMMERCIAL
BURGLARY,RESIDENCE
BURGLARY,APARTMENT
OTHER OFFENSE,SMALL RETAIL STORE
CRIMINAL DAMAGE,CTA TRAIN
