a,c,d,,,,
c,e,g,,,,
a,d,,,,,
c,e,g,,,,
c,e,,,,,
b,c,,,,,
c,e,g,,,,
c,d,e,g,,,
b,f,,,,,
d,f,,,,,
a,,,,,,
c,g,,,,,
c,d,,,,,
c,e,g,,,,
c,d,e,g,,,
a,c,g,,,,
b,d,f,,,,
a,d,e,,,,
c,g,,,,,
b,d,f,,,,
a,,,,,,
d,f,g,,,,
d,,,,,,
b,e,g,,,,
b,d,,,,,
a,c,e,,,,
d,g,,,,,
a,b,,,,,
d,,,,,,
d,,,,,,
a,c,e,,,,
b,d,,,,,
c,d,,,,,
a,b,,,,,
a,,,,,,
a,,,,,,
c,,,,,,
a,d,,,,,
a,b,d,,,,
d,f,g,,,,
c,e,g,,,,
d,e,,,,,
a,d,,,,,
a,d,,,,,
a,b,d,e,,,
c,e,g,,,,
d,,,,,,
c,e,,,,,
a,c,e,,,,
a,,,,,,
a,b,c,d,e,f,g
c,e,g,,,,
c,e,g,,,,
c,e,,,,,
a,c,d,,,,
a,b,,,,,
b,,,,,,
a,c,,,,,
d,,,,,,
c,e,f,,,,
a,,,,,,
b,c,f,,,,
b,,,,,,
d,,,,,,
a,c,d,e,g,,
a,b,,,,,
a,d,f,,,,
b,c,f,,,,
b,c,d,g,,,
a,c,e,g,,,
c,d,,,,,
a,b,d,,,,
b,c,,,,,
a,b,c,d,,,
c,,,,,,
b,,,,,,
c,e,g,,,,
a,c,,,,,
a,c,e,,,,
c,e,g,,,,
c,e,g,,,,
b,d,,,,,
a,c,e,g,,,
a,c,e,,,,
a,b,d,e,f,,
c,d,f,,,,
a,b,c,,,,
a,d,,,,,
b,c,d,,,,
d,,,,,,
a,c,d,,,,
e,f,g,,,,
b,,,,,,
c,d,e,g,,,
a,,,,,,
b,c,,,,,
a,b,,,,,
c,d,e,,,,
c,d,,,,,
c,d,e,g,,,
